,post_message,num_like_post,num_comment_post,num_share_post
265,"Dự_báo thời_tiết hôm_nay 11/3 : Hà_Nội có mưa vài nơi , Sài_Gòn ngày nắng",0,0,0
916,"Ngày 15-3 , Singapore yêu_cầu tất_cả những người nhập_cảnh Singapore từ các nước Đông_Nam_Á , Nhật_Bản , Vương_quốc Anh và Thuỵ_Sĩ phải ở nhà ( cách_ly tại_chỗ ) trong 14 ngày .",202,0,370
1332,Thông_tin nóng_hổi nhất về virus Corona . Sáng nay bệnh_viện đa_khoa huyện thạch_thất đã ghi_nhận bệnh_nhân dương_tính với chủng virus này . Sự_việc hiện_tại vẫn chưa được bung ra nhưng đáy là nguồn tin thân_cận mình cóp_nhặt được . Đại_dịch lây_lan rất nhanh kính mong quý bà_con triển_khai ngay các biện_pháp phòng_ngừa như đeo khẩh trang hoạt_tính + vệ_sinh tay sạch_sẽ thường_xuyên . Virus_Corona là loại virus gây ra tình_trạng viêm phổi + suy hô_hấp cấp_độ cao . Thông_báo khấn cho bà_con quanh khu_vực được biểt và phòng_ngừa . Thân !,1,1,1
88,"Thấy rất thương và biết_ơn các bác_sĩ ngày_đêm túc_trực cùng_dân vượt qua đại_dịch ._Mong cho vị bác_sĩ trẻ được bình_an , sớm khỏi bệnh để lại đồng_hành cùng các bệnh_nhân chiến_thắng bệnh_tật",19,0,1
1339,Báo_chí có_vẻ đang bị hạn với số_liệu hay_sao mà hôm trước thì 26.000 tỷ đồng thành tỷ đô . Hôm_nay thì từ triệu_đô bùm phát thành tỷ đô 🤔 🤔 🤔,22,5,1
927,"Thời_điểm cả nước bước vào hai tuần quyết_liệt chống dịch_Covid-19 , Unilever thông_báo tập_đoàn này cam_kết hỗ_trợ 50 tỷ đồng thông_qua các chương_trình hợp_tác với Bộ Y_tế , Bộ_Giáo_dục_và_Đào_tạo với mục_tiêu nâng cao điều_kiện vệ_sinh và bảo_vệ sức_khỏe người dân trong mùa dịch .",2209,16,100
1436,"Một sự thiếu kinh_nghiệm mà lãnh_đạo nhà_nước hay cappy ở những nơi khác mang về áp_dụng . Nói một_cách chính_xác là cách làm quá yếu_kém , nên mới xảy ra trường_hợp chen_lấn , không_khéo tạo điều_kiện cho việc phát mầm dịch cũng nên . Trong những người này có ai dám chắc là chưa từng tiếp_xúc với những nơi có virus Vũ_Hán ? < URL >",11,8,2
676,"Sáng 14/3 , Bộ Ngoại_giao Việt_Nam cho_biết , trước diễn_biến phức_tạp của dịch_Covid-19 , Chính_phủ Việt_Nam quyết_định tạm_thời chưa cho nhập_cảnh đối_với du_khách "" đến từ hoặc đã đi qua "" 26 nước thuộc khu_vực Schengen , Vương_quốc Anh và Bắc_Ireland trong vòng 14 ngày , trước ngày dự_kiến đến Việt_Nam ; đồng_thời , tạm dừng việc cấp thị_thực_tại cửa_khẩu . Các quyết_định nêu trên có hiệu_lực 30 ngày kể từ 12 h ngày 15/3 . Quy_định này không áp_dụng cho người nhập_cảnh vì mục_đích ngoại_giao và công_vụ . Các trường_hợp người nước_ngoài là chuyên_gia , quản_lý doanh_nghiệp , lao_động tay_nghề cao khi nhập_cảnh phải qua kiểm_tra y_tế và áp_dụng các biện_pháp phòng_chống dịch phù_hợp tại doanh_nghiệp , cơ_sở lưu_trú theo đúng quy_định . Việt_Nam thông_báo quyết_định này tới các cơ_quan đại_diện ngoại_giao , cơ_quan lãnh_sự và cơ_quan đại_diện các tổ_chức quốc_tế tại Việt_Nam và sẽ tiếp_tục theo_dõi chặt_chẽ , phối_hợp với các nước , các tổ_chức và đối_tác quốc_tế , kịp_thời điều_chỉnh các biện_pháp phòng , chống dịch phù_hợp , không để dịch lây_lan trong cộng_đồng . Cục Lãnh_sự , Bộ Ngoại_giao trước đó cũng đưa ra một_số khuyến_cáo công_dân Việt_Nam liên_quan tới công_tác phòng_chống dịch . Cụ_thể , những người đang ở Việt_Nam cần tuân_thủ khuyến_cáo của các cơ_quan_chức_năng về việc không ra nước_ngoài , nhất_là các vùng đang có dịch . Những người đang ở nước_ngoài : Không đến các vùng đang có dịch ; hạn_chế đi_lại và tới những nơi công_cộng đông người nếu không thực_sự cần_thiết ; thực_hiện nghiêm các khuyến_cáo , hướng_dẫn , đồng_thời tuân_thủ tuyệt_đối quy_tắc phòng_chống dịch_Covid-19 của cơ_quan_chức_năng sở_tại ; bình_tĩnh , tránh hoang_mang , thường_xuyên cập_nhật thông_tin qua báo_chí chính_thức , cảnh_giác và không truyền_bá những thông_tin chưa kiểm_chứng . Những người từ nước_ngoài trở_về thực_hiện khai tờ_khai y_tế chính_xác , trung_thực khi nhập_cảnh . Những người trở_về từ hoặc đi qua vùng có dịch , thực_hiện khai tờ_khai y_tế chính_xác , trung_thực khi nhập_cảnh ; chấp_hành nghiêm_túc việc giám_sát y_tế và cách_ly 14 ngày theo quy_định . Những hành_vi che_giấu , không khai_báo , cố_ý cung_cấp thông_tin sai sự_thật , không chấp_hành cách_ly sẽ bị xử_lý nghiêm theo quy_định pháp_luật . Kịp_thời thông_tin tới các cơ_quan_chức_năng sở_tại , các cơ_quan đại_diện Việt_Nam tại sở_tại và người_thân trong trường_hợp khẩn_cấp . Trường_hợp cần trợ_giúp , đề_nghị công_dân liên_hệ theo số đường_dây_nóng bảo_hộ công_dân được đăng_tải trên website chính_thức của các Cơ_quan đại_diện Việt_Nam ở nước_ngoài hoặc số điện_thoại của Tổng_đài Bảo_hộ công_dân Cục Lãnh_sự là : + 84 981 84 84 84 . Khi có câu hỏi về sức_khỏe liên_quan đến dịch_Covid-19 liên_lạc với hotline của ngành Y_tế : + 84 1 < PHONE > ; Hotline phòng_chống dịch_COVID-19 : + 84 1 < PHONE > .",33,2,100
878,"Thủ_tướng : Phản_ứng nhanh hơn nữa , hiệu_quả hơn nữa để chặn dịch Covid-19",3,0,0
629,"CÁC BÁC_SĨ , Y_TÁ ĐÃ CHỊU_ĐỰNG HẾT NỔI RỒI . CHÚNG_TA CẦN PHẢI TRỢ_LỰC CHO HỌ Thời_gian này , các bác_sĩ , y_tá là những người tội_nghiệp nhất , vì họ đang trực_tiếp giúp_đỡ các bệnh_nhân nhiễm Virus Vũ_Hán . Họ có nguy_cơ rất cao lây_nhiễm con virus quái_ác này . Trên thực_tế , đã có nhiều y_bác sỹ đã bị lây_nhiễm . - Mấy ngày_nay , nhiều bác_sĩ , y_tá là những người bạn của tôi , tâm_sự với tôi rằng : cha ơi , con muốn bỏ nghề này . Con chịu hết nổi rồi . Con điên mất . Con phải giữ mạng sống của con , chồng và con của con nữa . XIN CẢ NHÀ CÂU NGUYỆN THÊM CHO CÁC BÁC_SĨ VÀ Y_TÁ . Họ quá tội_nghiệp và hoang_mang . Nếu ta sợ Virus Vũ_Hán , ta có_thể_tích trử lương_thực , án binh bất_động ở nhà . Còn họ thì sao ? Họ phải đối_diện trực_tiếp với con Corona_Vũ_Hán trong từng con_người bị lây_nhiễm . Họ có nguy_cơ rất cao sẽ trở_thành nạn_nhân của con virus này .",2100,2100,2700
1351,Bắt_cóc ở Hội_An_Mẹ tôi bồng cháu đứng chơi trước nhà_Có 2 thanh_niên đi tới đi lui để nghe ngó < URL > đó giựt cháu trên tay bà . May_mắn ôm cháu chặt nên tụi nó bắt hụt Cánh báo tất_cả ngườu dân hãy cẩn_thận Phước nhà cháu tôi ko bị gì ...,1,1,1
1038,Ý thủ_tướng với một_trăm triệu dân Cảnh_sát ra_quân bắt dân nộp tiền phạt Và mỗi tháng vài_ba lần sẽ đạt Tiền chảy về đầy kho_bạc lo chi .,3,0,3
294,"⚡ ️ HOT : CHỈ CÒN 03 NGÀY ĐỂ CÙNG KÊNH 14 THAM_GIA THỬ_THÁCH "" ĂN_UỐNG LÀNH_MẠNH THẬT DỄ_DÀNG "" ! ! ! Là một người yêu thích chế_độ ăn healthy , muốn "" đẹp từ trong ra ngoài "" và chăm_sóc sức_khỏe thật tốt ? Cuộc thi ảnh này chính là để dành cho bạn ! ! 👉 Tham_gia vô_cùng đơn_giản chỉ với 01 bức ảnh tự chụp bữa ăn lành_mạnh của mình ngay tại : < URL > 👉 Bình_chọn ngay cho bức ảnh của bạn tại album được cập_nhật liên_tục : < URL > Cổng nhận bài dự thi sẽ chính_thức đóng lại vào 12 h ngày 22/03 . Và bạn , chỉ còn đúng 03 ngày nữa để tham_dự thử_thách và rinh về những giải_thưởng chung_cuộc cực xịn này thôi : ✓ 01 giải Sáng_tạo : Phiếu quà tặng TH true mart trị_giá 𝟑.𝟎𝟎𝟎.𝟎𝟎𝟎 đ ✓ 08 giải Cảm_hứng : Voucher mua hàng trị_giá 𝟓𝟎𝟎.𝟎𝟎𝟎 đ / voucher Thể_lệ chi_tiết xem tại : < URL > Đừng chần_chừ gì nữa , tham_gia ngay hỡi các tín_đồ eat heathy ơiiiii ! # anhealthythatdedang # eathealthyitiến sĩeasy # THtrueNUT",104,7,10
261,"CẦU_NGUYỆN CHO VỊ CHA CHUNG CỦA CHÚNG_TA Vì lý_do sức_khỏe , Đức_Phanxicô không đến được nhà_thờ thánh Gioan_Latran Chúng_ta cầu_nguyện cho Ngài bình_phục ! ... Ngày 27 tháng 2-2020 , thông_báo của Tòa_Thánh cho biết , vì lý_do sức_khỏe , Đức_Phanxicô không đến được nhà_thờ Thánh_Gioan_Latran ở Rôma để dâng thánh_lễ đền tạ như đã dự_trù ._Ngài ở lại nghỉ_ngơi ở Nhà Thánh Marta . Theo lẽ ngài sẽ đến gặp hàng giáo_sĩ Rôma ở nhà_thờ Thánh_Gioan_Latran , dâng thánh_lễ đền tạ và giải_tội cho các linh_mục trong giáo_phận của ngài . Đây không phải là lần đầu_tiên ngài không đi vì lý_do sức_khỏe . Trước_đây cũng có lần ngài đã hủy một buổi lễ vào tháng 2 và tháng 6 năm 2014 . Ngài cũng đã bị choáng trong thánh_lễ ở Geneva , Thụy_Sĩ năm 2018 , nhưng ngài vẫn tiếp_tục chuyến đi đại_kết của mình . Vấn_đề sức_khỏe Trong buổi tiếp_kiến chung ngày thứ tư 26 tháng 2 , trên gương_mặt Đức_Phanxicô cho thấy ngài bị mệt . Sau đó trong ngày , khi đến nhà_thờ Thánh_Sabina để dâng Lễ_Tro , ngài đi khập_khễnh hơn bình_thường và được Đức_ông Guido_Marini nâng_đỡ , Đức_ông là trưởng ban phụng vụ_Phủ giáo_hoàng . Về vấn_đề sức_khỏe , năm 21 tuổi , Đức_Phanxicô đã phải bị mổ để lấy một phần lá phổi . Năm 2007 ngài bị viêm thần_kinh_tọa nên đã không đi Công_nghị do Đức_Bênêđictô_XVI triệu_tập . Ngài thường đau_khớp và theo lẽ ngài sẽ mổ chứng đục thủy_tinh năm 2019 nhưng ca phẫu_thuật này chưa được xác_nhận . Marta_An Nguyễn_dịch_Nguồn : < URL > Xem thêm",4100,3000,7400
1427,Tình_cảnh của những công_dân Trung_Quốc ở nước_ngoài đã bóc_trần bộ_mặt đạo_đức giả của Bắc_Kinh trong đại_dịch COVID-19 :,37,6,8
794,[ Infographic ] Ngày_Quốc_tế gia_đình 15/5 : Nét đẹp trong văn_hóa gia_đình Việt,0,0,0
1330,Tăng mạnh nhất thế_giới chứng Việt_Nam Hay hỏng và lỗi lúc nhạy_cảm nhất vẫn là ta Thua_lỗ đau_đớn phút 91 là nhà_đầu_tư ... đề_nghị ubck làm rõ phiên giao_dịch ngày hôm_nay Không ngoại_trừ thao_túng,1,0,0
1557,"AI CŨNG HIỂU CHỈ MỖI TOÀ KHÔNG HIỂU , NÊN SINH_MẠNG CON_NGƯỜI CHỈ NHƯ CHIẾC MÓNG_TAY , ĐÃ TUYÊN_ÁN TỬ_HÌNH NGƯỜI BẰNG NHỮNG CÁNH_TAY GIƠ .... ? Như chúng_ta đã biết vụ án Hồ_Duy_Hải đã làm dậy sóng cộng_đồng mạng xã_hội Việt_Nam và thế_giới về nền tư_pháp Việt_Nam trong nhiều năm qua đặc_biệt là quy_trình tố_tụng từ điều_tra , xét_xử trái với những quy_định của pháp_luật : - Tang_chứng vật_chứng được mua ở chợ về và trong hiện_trường vụ_án không có dấu tay của Hồ_Duy_Hải trong quá_trình điều_tra_xét_xử cũng đã bắt được nghi can Tên là Nghị , người_yêu của 1 nạn_nhân bản_thân Nghị nghiện ma_tuý có tiền_án tiền_sự rất nhiều và quy_trình xét_xử lại không tuân_thủ những quy_định của pháp_luật hiện_hành . Theo khoản C điều 53 Bộ_luật tố_tụng hình_sự năm 2015 quy_định như sau : Điều 53 . Thay_đổi Thẩm_phán , Hội_thẩm c ) Đã tham_gia xét_xử sơ_thẩm hoặc phúc_thẩm hoặc tiến_hành tố_tụng vụ án đó với tư_cách là Điều_tra viên , Cán_bộ điều_tra , Kiểm_sát_viên , Kiểm_tra viên , Thẩm_tra viên , Thư_ký Tòa_án . Điều 53 là Những quy_định chung của Bộ_luật Tố_tụng hình_sự năm 2015 , được coi như là nguyên_tắc xuyên suốt quá_trình giải_quyết vụ án hình_sự từ sơ_thẩm , phúc_thẩm , giám_đốc thẩm , tái_thẩm . Như_vậy người nào đã tiến_hành tố_tụng vụ án đó với tư_cách là người tiến_hành tố_tụng thì không được tham_gia xét_xử vụ án hoặc bị thay_đổi . Việc ký quyết_định không kháng_nghị vụ án hoặc trả_lời khiếu_nại bản_án , quyết_định đã có hiệu_lực pháp_luật của những người tiến_hành tố_tụng hình_sự cũng chính là đã tiến_hành tố_tụng vụ_án và qua phiên_toà xét_xử vừa_qua tôi cho rằng ông Nguyễn_Hoà_Bình thuộc đối_tượng không được tham_gia xét_xử Giám_đốc thẩm vụ_án Hồ_Duy_Hải vì ông Bình đã đã tham_gia vào vụ án cách đây mấy năm khi ông ấy đang làm ở Viện Kiểm_Soát Nhân_Dân Tối_Cao và đã ký quyết_định không kháng_nghị vụ án này với tư_cách là Viện_trưởng VKS NDTC. Những quy_định của pháp_luật như_vậy để bảo_đảm tính vô_tư , khách_quan , tránh áp_đặt ý_muốn chủ_quan của người ngồi ghế thẩm_phán_xét_xử vụ_án . Ông Bình là chủ_toạ phiên_toà xét_xử , lại là Chánh_án Toà_án_nhân_dân_tối_cao làm cho nhân_dân trong và ngoài nước đặt câu hỏi về tính Khách_Quan , Vô_Tư của quyết_định Ông ấy khi ông ấy đã làm trái quy_định của pháp_luật , Là con_người thì không một ai bao_che cho kẻ giết người cả , nhưng ủng_hộ để cứu 1 mạng người vô_tội bị oan sai là lương_tâm trách_nhiệm của 1 con_người có nhận_thức . Theo quy_định tại Điều 386 BLTTHS thì ... ” Trường_hợp người bị kết_án , người bào_chữa , người có quyền_lợi , nghĩa_vụ liên_quan đến kháng_nghị có_mặt tại phiên_toà thì những người này được trình_bày ý_kiến về những vấn_đề mà Hội_đồng giám_đốc thẩm yêu_cầu , Kiểm_sát_viên , người tham_gia tố_tụng tại phiên_toà giám_đốc thẩm tranh_tụng về những vấn_đề liên_quan đến việc giải_quyết vụ_án ._Chủ_tọa phiên_toà phải tạo điều_kiện cho Kiểm_sát_viên , người tham_gia tố_tụng trình_bày hết ý_kiến , tranh_luận dân_chủ , bình_đẳng trước toà "" nhưng , Tại phiên_toà giám_đốc thẩm vừa_qua , luật_sư của bị_cáo chỉ được trình_bày ý_kiến mà không có tranh_tụng ._Việc Hội_đồng giám_đốc thẩm không cho_phép luật_sư tham_gia đầy_đủ phiên_toà rõ_ràng là vi_phạm pháp_luật . Có_lẽ Hội_đồng giám_đốc thẩm sửa_sai bằng việc lai triệu_tập lại khi vị luật_sư Có_lẽ đây cũng là trường_hợp kỳ_lạ trong lịch_sử xét_xử của nền tư_pháp XHCN. .. ? - Về kháng_nghị của Viện_kiểm_sát_nhân_dân_tối_cao : Hội_đồng giám_đốc thẩm cho rằng kháng_nghị của VKSNDTC trái pháp_luật nên không được chấp_nhận ._Vậy kháng_nghị đó trái pháp_luật nào ? Kháng_nghị khi mà Quyết_định số 639 / QĐ - CTN ngày 17/5/2012 của Chủ_tịch nước bác đơn xin ân_giảm án tử_hình của Hồ_Duy_Hải đang có hiệu_lực pháp_luật ? Luật nào quy_định ? Không có quy_định nào về vấn_đề này trong BLTTHS. Thực_tế thì Hồ_Duy_Hải không làm đơn xin ân_giảm án tử_hình , vậy Chủ_tịch nước xét đơn của ai để ra quyết_định bác đơn ? . Khi Hội_đồng giám_đốc thẩm cho rằng kháng_nghị trái pháp_luật tức_là không cần xem_xét về nội_dung của vụ_án thế mà phiên_toà vẫn diễn ra trong ba ngày . Thông_thường khi xét_xử phúc_thẩm hoặc giám_đốc thẩm HĐXX phải xem_xét ngay đến cơ_sở của trình_tự tố_tụng này là Kháng_cáo , kháng_nghị . Một kháng_cáo hoặc kháng_nghị đã không hợp_pháp thì không có phiên_toà . Rõ_ràng là trong quy_trình điều_tra , xét_hỏi , xét_xử của vụ_án này , việc điều_tra đã có quá nhiều vi_phạm nghiêm_trọng trình_tự thủ_tục tố_tụng hình_sự từ khám_nghiệm hiện_trường , thu_giữ vật_chứng , dấu_vết , nhận_dạng vật_chứng , mua_cái không phải là vật_chứng để cố_tình hợp_pháp_hoá_vật_chứng ... Khi mà các cái gọi_là chứng_cứ được thu_thập trái pháp_luật , không đúng quy_định của pháp_luật và lại được sử_dụng như_là chứng_cứ buộc_tội là võ_đoán vì đó không phải là chứng_cứ . Vì_thế nó không có sức thuyết_phục , không đủ để chứng_minh người phạm_tội và đương_nhiên nó đã làm thay_đổi nội_dung , bản_chất của vụ_án , qua vụ_án này Sẽ là một tiền_lệ và nguy_hiểm hơn là án_lệ cho các vi_phạm nghiêm_trọng thủ_tục tố_tụng hình_sự nói_riêng và pháp_luật tố_tụng nói_chung cho hôm_nay và mai_sau - Trong Lịch_Sử cách_mạng Việt_Nam bác Hồ kính_yêu của chúng_ta với biệt_danh là Tống_Văn_Sơ cũng đã bị của mật_thám thực_dân Pháp , Thực_dân Anh tàn_ác theo_dõi , Bác đã bị bị cảnh_sát Hongkong bắt ngay tại nhà_trọ , 186 phố Tam_Lung , với hồ_sơ ghi tội_danh là “ gián_điệp của Quốc_tế Cộng_sản , tay_sai của Liên_Xô , có âm_mưu lật_đổ ” nhưng nhưng dưới nền tư_pháp của bọn tư_bản , tàn_ác giảy chết nhưng được sự bào_chữa của luật_sư Francis_Henry_Loseby Đã bào_chữa cho Tống_Văn_Sơ theo quy_định của pháp_luật lúc bấy_giờ và bác đã được tự_do khi thẩm_phán phiên_toà tuyên trắng_án cho bác Hồ_Chí_Minh khi đã bị tuyên_án tử_hình vắng_mặt ở đông dương ..... ? - kết_luận từ vụ_án này : Theo quy_định của BLTTHS “ Thủ_tục xem_xét lại quyết_định của Hội_đồng Thẩm_phán Toà_án_nhân_dân_tối_cao “ thì vẫn còn có những người sau có_thể yêu_cầu , kiến_nghị , đề_nghị xem_xét lại quyết_định giám_đốc thẩm của Hội_đồng Thẩm_phán Toà_án_nhân_dân_tối_cao - Ủy_ban thường_vụ_Quốc_hội yêu_cầu - Ủy_ban Tư_pháp của Quốc_hội kiến_nghị - Viện_trưởng VKS_TC kiến_nghị - Chánh_án Toà_án_nhân_dân_tối_cao đề_nghị Trên đây là những ý_kiến cá_nhân của tôi sau khi đã nghiên_cứu , tìm_hiểu về vụ_án Hồ_Duy_Hải và mong rằng Đảng , Quốc_Hội , Chính_Phủ , Toà_Án Nhân_Dân Tối_Cao , và các cơ_quan tổ_chức có thẩm_quyền của đất_nước Việt_Nam thân_yêu của chúng_ta điều_tra , xét_xử vụ án theo đúng quy_định của pháp_luật Việt_Nam để tránh bỏ lọt tội_phạm giết người mà không làm chết oan người dân vô_tội ... ?",10,2,0
405,Facebook và Google đều công_bố các số_liệu mới liên_quan tới nỗ_lực đối_phó với Covid-19 trên mặt_trận mạng xã_hội và công_nghệ .,7,0,0
1597,"Mình xin mọi người bớt chút thời_gian đọc_bài viết này và chia_sẻ chúng cho tất_cả Mn điều đc biết . Mình là con của Phật thì càng ko thế nói_dối . Thế_giới chúng_ta đang đối_mặt với dịch_bệnh chết người từ virus corona . Chúng_ta ko giúp họ được gì và dường_như bất_lực nhìn từng người ngã xuống trong tuyệt_vọng . Và bây_giờ Chỉ có trời phật mới giúp_đỡ đc chúng_ta . xin mọi người hãy cùng nhau cầu_nguyện cho họ . chúng_ta hãy tịnh tâm thiền_định , trong tâm ko suy_nghĩ gì ngoài m ... ột câu cầu_nguyện đó là Chúng_con cầu_xin Chư_Phật , Chư Bồ_Tát , Chư_Thiên , Chư_Thánh , Chư_Thần khắp mười_phương thế_giới ban Phước_lành cho nhân_loại chiến_thắng được dịch_bệnh tiêu_diệt được virus corona . Chúng_con xin tạ_ơn các Ngài . Khi chúng_ta tịnh tâm khi đó chúng_ta nhận được nguồn năng_lượng sạch từ vũ_trụ và trg tâm cầu_xin điều lành thì chúng_ta sẽ được cảm_ứng đến Chư_Phật , Chư Bồ_Tát , < URL > ì lời cầu_nguyện sẽ được nghe thấy và giúp_đỡ . một người không_thể thay_đổi được nhưng tất_cả mọi người đều toàn_tâm toàn ý cầu_nguyện thế_giới sẽ đổi_thay . Và đây cũng là một_cách để giúp chính bn thân bn trong nạn dịch của toàn thế_giới . Nam_Mô A_Di_Đà_Phật . Cầu_mong cho thế_giới đc an_lành . Cảm_ơn tất_cả mn đã lắng_nghe và chia_sẻ # truc sinn Xem thêm",2500,403,3500
356,"Vì_sao Việt_Nam đề_xuất mua bộ xét_nghiệm SARS-CoV-2 từ Hàn_Quốc ? Lý_do rất đơn_giản . Bộ xét_nghiệm của Hàn_Quốc dựa trên phản_ứng kháng_nguyên kháng_thể trong mẫu máu , cho kết_quả chỉ trong 15 phút so với 2 tiếng của sản_phẩm do Việt_Nam chế_tạo , phương_thức sử_dụng cũng rất đơn_giản . Bù_lại thì tỷ_lệ dương_tính giả cũng ... cao nhất trong các bộ kit thử SARS-CoV-2 trên thế_giới . Tức_là bộ kit này chỉ hiệu_quả khi số ca nghi nhiễm quá lớn , cần xét_nghiệm cực_kỳ nhiều người trong thời_gian càng ngắn càng tốt để phân_loại và khoanh_vùng dập dịch . Đó cũng là lý_do mà Hàn_Quốc tổ_chức các điểm xét_nghiệm lưu_động để mọi người_dân có_thể cung_cấp mẫu và lấy kết_quả sớm . Khi phát_hiện dương_tính thì mới liên_lạc để xét_nghiệm bằng cách phương_pháp chuẩn_xác hơn . Trong khi đó , bộ kit thử SARS-CoV-2 của Việt_Nam sử_dụng phương_pháp realtime_RT-PCR , thời_gian xét_nghiệm lâu hơn ( 80-120 phút ) nhưng kết_quả thì gần như không trượt phát nào . Realtime_RT-PCR được Tổ_chức Y_tế_Thế_giới ( WHO ) coi là công_nghệ vàng và khuyến_khích sử_dụng trong chế_tạo kit xét_nghiệm . Tóm_lại , Bộ Y_tế mua kit thử của Hàn_Quốc để chuẩn_bị cho những tình_huống xấu nhất trong tương_lai và khả_năng cao là nó sẽ không xảy ra . Còn thực_tế thì chúng_ta vẫn thừa_sức tự sản_xuất bộ xét_nghiệm SARS-CoV-2 để phục_vụ nhu_cầu trong nước và xuất_khẩu . Rất tiếc cho các bạn người Hàn nói tiếng Việt và đám tự nhục , Việt_Nam chúng_tôi lại để các bạn phải chui vào hang rồi . Và tất_nhiên là Việt_Nam luôn khẳng_định chủ_quyền không_thể tranh_cãi của Việt_Nam với quần_đảo Hoàng_Sa và Trường_Sa , cũng như tính chính_nghĩa của cuộc_chiến giải_phóng người dân Campuchia khỏi thảm_họa diệt_chủng Khmer_Đỏ . - Quán bia tổng_hợp - # ComCom",4,1,1
608,""" Đến thời_điểm hiện_tại , người_thân bệnh_nhân chưa được tiếp_xúc với cháu bé . Bệnh_viện đang nuôi và chăm_sóc cả thai_phụ và cháu bé một_cách tốt nhất "" .",5,0,0
1270,"Vệ_binh quốc_gia Mỹ đã vào_cuộc để trấn_áp biểu_tình bạo_loạn , nhưng do bị truyền_thông theo sát quá nên việc cần làm trước_tiên không phải là trấn_áp bọn biểu_tình bạo_loạn mà là xích cổ nguyên đội truyền_thông của CNN. Thực_ra thì cũng đúng , tí nữa sẽ có các cảnh máu_me bạo_lực bọn truyền_thông nó cứ kè_kè theo sau thì làm_sao các anh làm_việc được : v ... Sự_việc mới xảy ra được hơn 20 phút trước ai coi CNN thì rõ .",19,27,0
239,"Bài dự thi Em nhảy Ghen Cô Vy của thí_sinh Nguyễn_Phương_Linh số báo_danh 242 Hãy gửi video tham_dự cuộc thi Em nhảy Ghen Cô Vy đến < URL > ---- Tham_gia cuộc thi ' Em nhảy Ghen Cô Vy ' , rinh ngay giải_thưởng mê_ly Mỗi bài dự thi bao_gồm : + Video nhảy Ghen Cô Vy của thí_sinh + Thông_tin của thí_sinh ( Họ và tên đầy_đủ , ngày tháng năm sinh ) và thông_tin của phụ_huynh ( Họ và tên đầy_đủ , số điện_thoại liên_hệ , email , địa_chỉ liên_hệ ) + 1 hoặc nhiều ảnh chân_dung thí_sinh , có_thể là ảnh đang nhảy hoặc ảnh bình chụp chân_dung bình_thường ( File_ảnh chất_lượng cao ) Cuộc thi Em nhảy Ghen Cô Vy do Báo Thanh_Niên phát_động tổ_chức nhằm góp_phần cùng cộng_đồng nâng cao nhận_thức của người dân , đặc_biệt là trẻ_em về tầm quan_trọng của việc rửa tay , vệ_sinh cá_nhân phòng_chống bệnh Covid-19 . Thí_sinh quay video nhảy mô_phỏng lại vũ_điệu rửa tay trên nền nhạc ca_khúc Ghen Cô Vy và gửi tới chương_trình . Vũ_đạo có_thể giống vũ_điệu rửa tay của vũ_công Quang_Đăng hoặc tự sáng_tạo vũ_điệu mới mà không làm mất đi tinh_thần và thông_điệp của bài hát Ghen Cô Vy . Cuộc thi dành cho thí_sinh sinh từ ngày 1.1.2005 trở về sau với giải_thưởng gồm : - 1 giải nhất : 20.000.000 đồng - 2 giải nhì : 10.000.000 đồng - 3 giải ba : 5.000.000 đồng - 5 giải khuyến_khích : 1.000.000 đồng - 1 giải video được yêu_thích nhất : 15.000.000 đồng Ngoài_ra , giải Nhất và giải Nhì được tặng mỗi giải 2 thùng sữa Care100_Gold 180 ml , các giải còn lại mỗi giải được tặng 1 thùng sữa Care100_Gold 180 ml Bên_cạnh cuộc thi chính_thức dành cho thí_sinh sinh_từ 1.1.2005 trở về sau , Ban Tổ_chức cũng phát_động chương_trình hưởng_ứng cuộc thi Em nhảy Ghen Cô Vy . Theo đó , các cá_nhân và tập_thể ở mọi độ tuổi được hoan_nghênh gửi video “ nhảy điệu Ghen_Cô Vy ” tới Ban tổ_chức để hưởng_ứng , cổ_vũ cho các thí_sinh nhỏ_tuổi . Hãy gửi video tham_dự cuộc thi Em nhảy Ghen Cô Vy đến < URL > Xem thông_tin chi_tiết về thể_lệ cuộc thi tại đây : < URL > # emnhayghencovy # ghencovydance",284,15,1860
1063,"Chúng_ta cần có tầm 4-6 ngày để nó chuyển từ giai_đoạn 30 ca lên mức 100 - 500 ca . Và có khoảng 8-12 ngày ( sau khi thiết_lập mốc 500 ) để lên mức 1 < PHONE > ca . Rất cần truyền_thông để bà_con ở nhà . Hạn_chế đi_lại một tuần để đợt sóng này biểu_hiện lâm_sàng hết và khoanh lại rất ngắn ở mức này ._Việc hạn_chế ra ngoài lúc này là rất cần_thiết . CHÚNG_TA SẼ LÀM_LẠI TỪ_ĐẦU TOÀN ĐẢNG , TOÀN_DÂN , TOÀN_QUÂN MỘT Ý_CHÍ , CHÚNG_TA SẼ LÀM_LẠI TỪ_ĐẦU "" Trích lời phát_biểu của PTT Vũ_Đức Đam",214,25,4
